Ime;Narodnost;Položaj;Ekipa;Starost;Odigrane tekme;Minute;Goli;Asistence;Rumeni kartoni;Rdeči kartoni
Fred Onyedinma;ENG;DF, MF;Luton Town;26;8;407;0;0;1;0
Frank Onyeka;NGA;MF;Brentford;25;26;1161;1;2;8;0
Divock Origi;BEL;FW;Nott'ham Forest;28;20;606;0;1;1;0
Stefan Ortega;GER;GK;Manchester City;30;9;635;0;0;0;0
Ben Osborn;ENG;DF, MF;Sheffield Utd;28;24;1367;0;2;3;0
Gabriel Osho;NGA;DF;Luton Town;24;21;1846;2;0;3;0
William Osula;DEN;FW;Sheffield Utd;19;21;786;0;0;4;0
Dango Ouattara;BFA;FW, DF;Bournemouth;21;30;1229;1;2;3;0
David Ozoh;ENG;MF, DF;Crystal Palace;18;9;156;0;0;1;0
João Palhinha;POR;MF;Fulham;28;33;2699;4;1;13;0
Cole Palmer;ENG;FW, MF;Chelsea;21;33;2607;22;11;7;0
Cole Palmer;ENG;MF;Manchester City;21;1;11;0;0;0;0
Emerson Palmieri;ITA;DF;West Ham;28;36;3137;1;2;10;0
